doc,word,value
job2,sophisticated,0.0
job2,spark,0.5
job2,sql,0.25
job2,statistic,0.333
job2,statistical,0.0
job2,strong,0.25
job2,tableau,1.0
job2,technique,0.333
job2,three,0.0
job2,time,0.0
job2,tool,0.167
job2,understanding,0.0
job2,using,0.0
job2,variety,0.5
job2,visualizing,0.0
job2,web,0.0
job2,website,0.0
job2,written,0.0
job2,year,0.143
job3,ability,0.0
job3,adobe,0.0
job3,advanced,0.0
job3,advertisement,0.0
job3,analysis,0.0
job3,analytic,0.0
job3,analyzing,1.0
job3,architecture,0.0
job3,aws,0.0
job3,bachelor,0.0
job3,background,0.167
job3,bioinformatics,0.0
job3,communicate,0.0
job3,contact,0.0
job3,corporate,0.0
job3,cs5,0.0
job3,data,0.2
job3,database,0.0
job3,datasets,1.0
job3,deadline,0.0
job3,degree,0.0
job3,delivering,0.0
job3,design,0.0
job3,designer,0.0
job3,discipline,0.0
job3,dreamweaver,0.0
job3,effective,0.0
job3,excellent,0.0
job3,experience,0.15
job3,experienced,0.0
job3,field,0.0
job3,five,0.0
job3,following,0.333
job3,four,0.0
job3,graphic,0.0
job3,html,0.0
job3,identity,0.0
job3,illustrator,0.0
job3,interactive,0.0
job3,java,0.0
job3,job1mail,0.0
job3,job44mail,0.0
job3,knowledge,0.333
job3,language,0.2
job3,large,1.0
job3,learning,0.333
job3,mac,0.0
job3,machine,0.333
job3,management,0.0
job3,managing,1.0
job3,marketing,0.0
job3,matlab,0.333
job3,medium,0.0
job3,meet,0.0
job3,method,0.0
job3,modelling,0.2
job3,multimedia,0.0
job3,number,0.333
job3,one,0.0
job3,oral,0.0
job3,packaging,0.0
job3,photoshop,0.0
job3,platform,0.0
job3,please,0.0
job3,predictive,0.0
job3,product,0.0
job3,production,0.0
job3,proficient,0.0
job3,programming,0.1
job3,project,0.5
job3,proven,0.0
job3,python,0.2
job3,r,0.0
job3,related,0.0
job3,relevant,0.0
job3,sas,0.333
job3,scala,0.0
job3,science,0.25
job3,scientific,0.0
job3,skill,0.0
job3,sophisticated,0.0
job3,spark,0.0
job3,sql,0.5
job3,statistic,0.333
job3,statistical,0.0
job3,strong,0.25
job3,tableau,0.0
job3,technique,0.333
job3,three,0.25
job3,time,0.0
job3,tool,0.333
job3,understanding,0.0
job3,using,0.0
job3,variety,0.5
job3,visualizing,1.0
job3,web,0.0
job3,website,0.0
job3,written,0.0
job3,year,0.143
job4,ability,0.2
job4,adobe,0.0
job4,advanced,0.0
job4,advertisement,0.0
job4,analysis,0.0
job4,analytic,0.0
job4,analyzing,0.0
job4,architecture,0.0
job4,aws,0.0
job4,bachelor,0.5
job4,background,0.167
job4,bioinformatics,0.0
job4,communicate,0.0
job4,contact,0.5
job4,corporate,0.5
job4,cs5,0.0
job4,data,0.0
job4,database,0.0
job4,datasets,0.0
job4,deadline,0.333
job4,degree,0.5
job4,delivering,0.0
job4,design,0.2
job4,designer,0.5
job4,discipline,0.0
job4,dreamweaver,0.0
job4,effective,0.333
job4,excellent,0.0
job4,experience,0.05
job4,experienced,0.0
job4,field,0.5
job4,five,0.0
job4,following,0.0
job4,four,0.0
job4,graphic,0.4
job4,html,0.0
job4,identity,0.5
job4,illustrator,0.333
job4,interactive,0.0
job4,java,0.0
job4,job1mail,0.0
job4,job44mail,1.0
job4,knowledge,0.0
job4,language,0.0
job4,large,0.0
job4,learning,0.0
job4,mac,0.0
job4,machine,0.0
job4,management,0.333
job4,managing,0.0
job4,marketing,0.25
job4,matlab,0.0
job4,medium,0.0
job4,meet,0.333
job4,method,0.0
job4,modelling,0.0
job4,multimedia,0.0
job4,number,0.0
job4,one,0.0
job4,oral,0.0
job4,packaging,0.5
job4,photoshop,0.333
job4,platform,0.0
job4,please,0.5
job4,predictive,0.0
job4,product,0.5
job4,production,0.5
job4,proficient,0.0
job4,programming,0.1
job4,project,0.0
job4,proven,0.0
job4,python,0.0
job4,r,0.0
job4,related,0.4
job4,relevant,0.0
job4,sas,0.0
job4,scala,0.0
job4,science,0.0
job4,scientific,0.0
job4,skill,0.125
job4,sophisticated,0.0
job4,spark,0.0
job4,sql,0.0
job4,statistic,0.0
job4,statistical,0.0
job4,strong,0.0
job4,tableau,0.0
job4,technique,0.0
job4,three,0.0
job4,time,0.333
job4,tool,0.0
job4,understanding,0.333
job4,using,0.0
job4,variety,0.0
job4,visualizing,0.0
job4,web,0.0
job4,website,0.5
job4,written,0.0
job4,year,0.0
job5,ability,0.2
job5,adobe,0.0
job5,advanced,0.0
job5,advertisement,0.5
job5,analysis,0.0
job5,analytic,0.0
job5,analyzing,0.0
job5,architecture,0.0
job5,aws,0.0
job5,bachelor,0.5
job5,background,0.167
job5,bioinformatics,0.0
job5,communicate,0.0
job5,contact,0.0
job5,corporate,0.5
job5,cs5,0.0
job5,data,0.0
job5,database,0.0
job5,datasets,0.0
job5,deadline,0.333
job5,degree,0.5
job5,delivering,0.0
job5,design,0.5
job5,designer,0.0
job5,discipline,0.0
job5,dreamweaver,0.0
job5,effective,0.333
job5,excellent,0.0
job5,experience,0.05
job5,experienced,0.0
job5,field,0.0
job5,five,0.0
job5,following,0.0
job5,four,0.0
job5,graphic,0.2
job5,html,1.0
job5,identity,0.5
job5,illustrator,0.333
job5,interactive,1.0
job5,java,0.0
job5,job1mail,0.0
job5,job44mail,0.0
job5,knowledge,0.333
job5,language,0.0
job5,large,0.0
job5,learning,0.0
job5,mac,0.0
job5,machine,0.0
job5,management,0.333
job5,managing,0.0
job5,marketing,0.5
job5,matlab,0.0
job5,medium,1.0
job5,meet,0.333
job5,method,0.0
job5,modelling,0.0
job5,multimedia,0.5
job5,number,0.0
job5,one,0.0
job5,oral,0.0
job5,packaging,0.0
job5,photoshop,0.333
job5,platform,0.0
job5,please,0.0
job5,predictive,0.0
job5,product,0.0
job5,production,0.5
job5,proficient,0.0
job5,programming,0.1
job5,project,0.0
job5,proven,0.0
job5,python,0.0
job5,r,0.0
job5,related,0.0
job5,relevant,0.0
job5,sas,0.0
job5,scala,0.0
job5,science,0.0
job5,scientific,0.0
job5,skill,0.125
job5,sophisticated,0.0
job5,spark,0.0
job5,sql,0.0
job5,statistic,0.0
job5,statistical,0.0
job5,strong,0.25
job5,tableau,0.0
job5,technique,0.0
job5,three,0.0
job5,time,0.333
job5,tool,0.0
job5,understanding,0.333
job5,using,0.0
job5,variety,0.0
job5,visualizing,0.0
job5,web,1.0
job5,website,0.5
job5,written,0.0
job5,year,0.0
job6,ability,0.2
job6,adobe,1.0
job6,advanced,0.0
job6,advertisement,0.5
job6,analysis,0.0
job6,analytic,0.0
job6,analyzing,0.0
job6,architecture,0.0
job6,aws,0.0
job6,bachelor,0.0
job6,background,0.167
job6,bioinformatics,0.0
job6,communicate,0.0
job6,contact,0.0
job6,corporate,0.0
job6,cs5,1.0
job6,data,0.0
job6,database,0.0
job6,datasets,0.0
job6,deadline,0.333
job6,degree,0.0
job6,delivering,0.0
job6,design,0.2
job6,designer,0.5
job6,discipline,0.0
job6,dreamweaver,1.0
job6,effective,0.333
job6,excellent,0.2
job6,experience,0.05
job6,experienced,1.0
job6,field,0.5
job6,five,0.0
job6,following,0.0
job6,four,0.0
job6,graphic,0.4
job6,html,0.0
job6,identity,0.0
job6,illustrator,0.333
job6,interactive,0.0
job6,java,0.0
job6,job1mail,0.0
job6,job44mail,0.0
job6,knowledge,0.0
job6,language,0.0
job6,large,0.0
job6,learning,0.0
job6,mac,1.0
job6,machine,0.0
job6,management,0.333
job6,managing,0.0
job6,marketing,0.25
job6,matlab,0.0
job6,medium,0.0
job6,meet,0.333
job6,method,0.0
job6,modelling,0.0
job6,multimedia,0.5
job6,number,0.0
job6,one,0.0
job6,oral,0.0
job6,packaging,0.5
job6,photoshop,0.333
job6,platform,1.0
job6,please,0.0
job6,predictive,0.0
job6,product,0.5
job6,production,0.0
job6,proficient,0.333
job6,programming,0.1
job6,project,0.0
job6,proven,0.0
job6,python,0.0
job6,r,0.0
job6,related,0.4
job6,relevant,0.0
job6,sas,0.0
job6,scala,0.0
job6,science,0.0
job6,scientific,0.0
job6,skill,0.25
job6,sophisticated,0.0
job6,spark,0.0
job6,sql,0.0
job6,statistic,0.0
job6,statistical,0.0
job6,strong,0.0
job6,tableau,0.0
job6,technique,0.0
job6,three,0.25
job6,time,0.333
job6,tool,0.0
job6,understanding,0.333
job6,using,0.0
job6,variety,0.0
job6,visualizing,0.0
job6,web,0.0
job6,website,0.0
job6,written,0.0
job6,year,0.143
job7,ability,0.2
job7,adobe,0.0
job7,advanced,0.0
job7,advertisement,0.0
job7,analysis,0.0
job7,analytic,0.0
job7,analyzing,0.0
job7,architecture,0.0
job7,aws,0.0
job7,bachelor,0.0
job7,background,0.0
job7,bioinformatics,0.5
job7,communicate,0.5
job7,contact,0.0
job7,corporate,0.0
job7,cs5,0.0
job7,data,0.1
job7,database,0.5
job7,datasets,0.0
job7,deadline,0.0
job7,degree,0.0
job7,delivering,0.0
job7,design,0.0
job7,designer,0.0
job7,discipline,0.0
job7,dreamweaver,0.0
job7,effective,0.0
job7,excellent,0.4
job7,experience,0.1
job7,experienced,0.0
job7,field,0.0
job7,five,0.0
job7,following,0.0
job7,four,0.5
job7,graphic,0.0
job7,html,0.0
job7,identity,0.0
job7,illustrator,0.0
job7,interactive,0.0
job7,java,0.0
job7,job1mail,0.0
job7,job44mail,0.0
job7,knowledge,0.0
job7,language,0.2
job7,large,0.0
job7,learning,0.167
job7,mac,0.0
job7,machine,0.167
job7,management,0.0
job7,managing,0.0
job7,marketing,0.0
job7,matlab,0.0
job7,medium,0.0
job7,meet,0.0
job7,method,0.25
job7,modelling,0.2
job7,multimedia,0.0
job7,number,0.0
job7,one,0.0
job7,oral,0.5
job7,packaging,0.0
job7,photoshop,0.0
job7,platform,0.0
job7,please,0.0
job7,predictive,0.5
job7,product,0.0
job7,production,0.0
job7,proficient,0.333
job7,programming,0.2
job7,project,0.0
job7,proven,0.0
job7,python,0.2
job7,r,0.5
job7,related,0.0
job7,relevant,0.5
job7,sas,0.0
job7,scala,0.0
job7,science,0.25
job7,scientific,0.0
job7,skill,0.25
job7,sophisticated,0.5
job7,spark,0.0
job7,sql,0.0
job7,statistic,0.0
job7,statistical,0.333
job7,strong,0.0
job7,tableau,0.0
job7,technique,0.0
job7,three,0.0
job7,time,0.0
job7,tool,0.167
job7,understanding,0.0
job7,using,0.5
job7,variety,0.0
job7,visualizing,0.0
job7,web,0.0
job7,website,0.0
job7,written,0.5
job7,year,0.143
job8,ability,0.2
job8,adobe,0.0
job8,advanced,0.0
job8,advertisement,0.0
job8,analysis,0.0
job8,analytic,0.0
job8,analyzing,0.0
job8,architecture,0.0
job8,aws,0.0
job8,bachelor,0.0
job8,background,0.0
job8,bioinformatics,0.5
job8,communicate,0.5
job8,contact,0.0
job8,corporate,0.0
job8,cs5,0.0
job8,data,0.1
job8,database,0.5
job8,datasets,0.0
job8,deadline,0.0
job8,degree,0.0
job8,delivering,0.0
job8,design,0.0
job8,designer,0.0
job8,discipline,1.0
job8,dreamweaver,0.0
job8,effective,0.0
job8,excellent,0.4
job8,experience,0.1
job8,experienced,0.0
job8,field,0.0
job8,five,0.0
job8,following,0.0
job8,four,0.0
job8,graphic,0.0
job8,html,0.0
job8,identity,0.0
job8,illustrator,0.0
job8,interactive,0.0
job8,java,0.0
job8,job1mail,0.0
job8,job44mail,0.0
job8,knowledge,0.0
job8,language,0.2
job8,large,0.0
job8,learning,0.167
job8,mac,0.0
job8,machine,0.167
job8,management,0.0
job8,managing,0.0
job8,marketing,0.0
job8,matlab,0.0
job8,medium,0.0
job8,meet,0.0
job8,method,0.25
job8,modelling,0.2
job8,multimedia,0.0
job8,number,0.0
job8,one,1.0
job8,oral,0.5
job8,packaging,0.0
job8,photoshop,0.0
job8,platform,0.0
job8,please,0.0
job8,predictive,0.5
job8,product,0.0
job8,production,0.0
job8,proficient,0.333
job8,programming,0.2
job8,project,0.0
job8,proven,0.0
job8,python,0.2
job8,r,0.5
job8,related,0.2
job8,relevant,0.5
job8,sas,0.0
job8,scala,0.0
job8,science,0.25
job8,scientific,1.0
job8,skill,0.25
job8,sophisticated,0.5
job8,spark,0.0
job8,sql,0.0
job8,statistic,0.0
job8,statistical,0.333
job8,strong,0.0
job8,tableau,0.0
job8,technique,0.0
job8,three,0.25
job8,time,0.0
job8,tool,0.167
job8,understanding,0.0
job8,using,0.5
job8,variety,0.0
job8,visualizing,0.0
job8,web,0.0
job8,website,0.0
job8,written,0.5
job8,year,0.143
